zip,population,city,county,state
75050,43190,Grand Prairie,Dallas,TX
75019,43137,Coppell,Dallas,TX
79705,43119,Midland,Midland,TX
75024,43041,Plano,Collin,TX
75013,42956,Allen,Collin,TX
75703,42955,Tyler,Smith,TX
76502,42946,Temple,Bell,TX
76108,42902,Fort Worth,Tarrant,TX
77057,42897,Houston,Harris,TX
77901,42620,Victoria,Victoria,TX
78221,42535,San Antonio,Bexar,TX
78412,42385,Corpus Christi,Nueces,TX
79423,42354,Lubbock,Lubbock,TX
79927,42221,El Paso,El Paso,TX
76112,42218,Fort Worth,Tarrant,TX
77339,42193,Humble,Harris,TX
75154,42192,Red Oak,Ellis,TX
76513,42162,Belton,Bell,TX
78415,41976,Corpus Christi,Nueces,TX
78253,41900,San Antonio,Bexar,TX
77063,41829,Houston,Harris,TX
78573,41336,Mission,Hidalgo,TX
75051,41317,Grand Prairie,Dallas,TX
77583,41305,Rosharon,Brazoria,TX
78237,41247,San Antonio,Bexar,TX
78154,41171,Schertz,Guadalupe,TX
76262,41158,Roanoke,Denton,TX
78589,41112,San Juan,Hidalgo,TX
75220,41110,Dallas,Dallas,TX
75231,40987,Dallas,Dallas,TX
77073,40979,Houston,Harris,TX
77074,40891,Houston,Harris,TX
75081,40825,Richardson,Dallas,TX
77042,40659,Houston,Harris,TX
77493,40547,Katy,Harris,TX
77705,40224,Beaumont,Jefferson,TX
77007,40112,Houston,Harris,TX
78028,40058,Kerrville,Kerr,TX
77382,40026,Spring,Montgomery,TX
78040,39997,Laredo,Webb,TX
77065,39951,Houston,Harris,TX
77389,39907,Spring,Harris,TX
79925,39868,El Paso,El Paso,TX
77354,39843,Magnolia,Montgomery,TX
77092,39841,Houston,Harris,TX
75063,39831,Irving,Dallas,TX
78413,39782,Corpus Christi,Nueces,TX
76706,39667,Waco,Mclennan,TX
75206,39653,Dallas,Dallas,TX
75234,39644,Dallas,Dallas,TX
76248,39641,Keller,Tarrant,TX
78232,39638,San Antonio,Bexar,TX
78628,39529,Georgetown,Williamson,TX
78610,39498,Buda,Hays,TX
77489,39444,Missouri City,Fort Bend,TX
78109,39424,Converse,Bexar,TX
77090,39289,Houston,Harris,TX
78552,38982,Harlingen,Cameron,TX
77049,38915,Houston,Harris,TX
76106,38906,Fort Worth,Tarrant,TX
76065,38800,Midlothian,Ellis,TX
75077,38764,Lewisville,Denton,TX
77066,38753,Houston,Harris,TX
78218,38749,San Antonio,Bexar,TX
77024,38723,Houston,Harris,TX
77004,38721,Houston,Harris,TX
79707,38644,Midland,Midland,TX
78626,38537,Georgetown,Williamson,TX
78749,38503,Austin,Travis,TX
77471,38430,Rosenberg,Fort Bend,TX
77377,38233,Tomball,Harris,TX
77502,38117,Pasadena,Harris,TX
77506,37968,Pasadena,Harris,TX
77642,37902,Port Arthur,Jefferson,TX
76039,37896,Euless,Tarrant,TX
77087,37703,Houston,Harris,TX
77571,37699,La Porte,Harris,TX
75224,37602,Dallas,Dallas,TX
75248,37602,Dallas,Dallas,TX
75069,37582,Mc Kinney,Collin,TX
78006,37568,Boerne,Kendall,TX
78723,37552,Austin,Travis,TX
75042,37458,Garland,Dallas,TX
78539,37411,Edinburg,Hidalgo,TX
76522,37382,Copperas Cove,Coryell,TX
75075,37310,Plano,Collin,TX
75089,37310,Rowlett,Dallas,TX
78634,37298,Hutto,Williamson,TX
76001,37231,Arlington,Tarrant,TX
77009,37149,Houston,Harris,TX
76180,37117,North Richland Hills,Tarrant,TX
76123,37075,Fort Worth,Tarrant,TX
78210,37061,San Antonio,Bexar,TX
79915,36797,El Paso,El Paso,TX
77034,36778,Houston,Harris,TX
75087,36718,Rockwall,Rockwall,TX
76904,36688,San Angelo,Tom Green,TX
79763,36688,Odessa,Ector,TX
77014,36560,Houston,Harris,TX
77035,36392,Houston,Harris,TX
76227,36392,Aubrey,Denton,TX
76002,36302,Arlington,Tarrant,TX
77008,36248,Houston,Harris,TX
78516,36248,Alamo,Hidalgo,TX
77320,36091,Huntsville,Walker,TX
75701,36089,Tyler,Smith,TX
77304,35893,Conroe,Montgomery,TX
78229,35589,San Antonio,Bexar,TX
77477,35496,Stafford,Fort Bend,TX
77381,35487,Spring,Montgomery,TX
75501,35352,Texarkana,Bowie,TX
78217,35257,San Antonio,Bexar,TX
75904,35208,Lufkin,Angelina,TX
76021,35168,Bedford,Tarrant,TX
78242,35159,San Antonio,Bexar,TX
77045,35010,Houston,Harris,TX
76013,34763,Arlington,Tarrant,TX
77076,34668,Houston,Harris,TX
75214,34658,Dallas,Dallas,TX
79416,34628,Lubbock,Lubbock,TX
77535,34603,Dayton,Liberty,TX
77067,34582,Houston,Harris,TX
78211,34539,San Antonio,Bexar,TX
77301,34512,Conroe,Montgomery,TX
79720,34454,Big Spring,Howard,TX
77351,34367,Livingston,Polk,TX
75078,34300,Prosper,Collin,TX
77365,34286,Porter,Montgomery,TX
79107,34204,Amarillo,Potter,TX
77803,34026,Bryan,Brazos,TX
77017,34010,Houston,Harris,TX
78244,33988,San Antonio,Bexar,TX
75032,33956,Rockwall,Rockwall,TX
79761,33955,Odessa,Ector,TX
78750,33860,Austin,Travis,TX
77520,33837,Baytown,Harris,TX
77041,33762,Houston,Harris,TX
76110,33720,Fort Worth,Tarrant,TX
77515,33634,Angleton,Brazoria,TX
76040,33419,Euless,Tarrant,TX
75238,33396,Dallas,Dallas,TX
78132,33368,New Braunfels,Comal,TX
77096,33299,Houston,Harris,TX
76014,33289,Arlington,Tarrant,TX
78705,33262,Austin,Travis,TX
79904,33084,El Paso,El Paso,TX
78570,32841,Mercedes,Hidalgo,TX
77079,32826,Houston,Harris,TX
75232,32823,Dallas,Dallas,TX
77047,32747,Houston,Harris,TX
77536,32745,Deer Park,Harris,TX
75229,32739,Dallas,Dallas,TX
79701,32692,Midland,Midland,TX
75605,32438,Longview,Gregg,TX
76117,32191,Haltom City,Tarrant,TX
