zip,population,city,county,state
72833,3813,Danville,Yell,AR
72635,3767,Gassville,Baxter,AR
72461,3728,Rector,Clay,AR
72858,3713,Pottsville,Pope,AR
72126,3683,Perryville,Perry,AR
72021,3666,Brinkley,Monroe,AR
72519,3628,Calico Rock,Izard,AR
71743,3617,Gurdon,Clark,AR
72437,3591,Lake City,Craighead,AR
72947,3588,Mulberry,Crawford,AR
71921,3552,Amity,Clark,AR
72153,3552,Shirley,Van Buren,AR
71638,3549,Dermott,Chicot,AR
72121,3520,Pangburn,White,AR
72946,3518,Mountainburg,Crawford,AR
72556,3472,Melbourne,Izard,AR
72576,3444,Salem,Fulton,AR
72937,3427,Hackett,Sebastian,AR
72020,3398,Bradford,White,AR
72016,3321,Bigelow,Perry,AR
72102,3278,Mc Rae,White,AR
72101,3103,Mc Crory,Woodruff,AR
72959,3030,Winslow,Washington,AR
72847,2983,London,Pope,AR
72135,2978,Roland,Pulaski,AR
71770,2967,Waldo,Columbia,AR
72443,2967,Marmaduke,Greene,AR
71640,2960,Eudora,Chicot,AR
71744,2957,Hampton,Calhoun,AR
71749,2904,Junction City,Union,AR
71836,2898,Foreman,Little River,AR
72331,2897,Earle,Crittenden,AR
72662,2870,Omaha,Boone,AR
72132,2849,Redfield,Jefferson,AR
71957,2803,Mount Ida,Montgomery,AR
72944,2791,Mansfield,Scott,AR
72644,2751,Lead Hill,Boone,AR
71846,2743,Lockesburg,Sevier,AR
72722,2737,Decatur,Benton,AR
72433,2713,Hoxie,Lawrence,AR
72512,2692,Horseshoe Bend,Izard,AR
72411,2680,Bay,Craighead,AR
72064,2680,Hazen,Prairie,AR
72641,2664,Jasper,Newton,AR
72438,2580,Leachville,Mississippi,AR
72738,2573,Hindsville,Madison,AR
72554,2546,Mammoth Spring,Fulton,AR
72087,2545,Lonsdale,Garland,AR
71762,2543,Smackover,Union,AR
72348,2492,Hughes,St. Francis,AR
72843,2481,Hector,Pope,AR
72354,2471,Lepanto,Poinsett,AR
72365,2454,Marked Tree,Poinsett,AR
71765,2397,Strong,Union,AR
72040,2392,Des Arc,Prairie,AR
72088,2387,Fairfield Bay,Van Buren,AR
72943,2370,Magazine,Logan,AR
72006,2369,Augusta,Woodruff,AR
72513,2362,Ash Flat,Sharp,AR
72082,2344,Kensett,White,AR
72067,2335,Higden,Cleburne,AR
72324,2334,Cherry Valley,Cross,AR
71941,2333,Donaldson,Hot Spring,AR
72168,2316,Tucker,Jefferson,AR
71958,2311,Murfreesboro,Pike,AR
72473,2297,Tuckerman,Jackson,AR
72039,2280,Damascus,Faulkner,AR
71647,2276,Hermitage,Bradley,AR
72940,2269,Huntington,Sebastian,AR
71842,2263,Horatio,Sevier,AR
72366,2248,Marvell,Phillips,AR
71861,2246,Taylor,Columbia,AR
72142,2235,Scott,Pulaski,AR
72824,2234,Belleville,Yell,AR
72063,2232,Hattieville,Conway,AR
71858,2216,Rosston,Nevada,AR
71937,2199,Cove,Polk,AR
72562,2189,Newark,Independence,AR
72137,2186,Rose Bud,White,AR
71860,2180,Stamps,Lafayette,AR
72583,2178,Viola,Fulton,AR
72355,2155,Lexa,Phillips,AR
72013,2142,Bee Branch,Van Buren,AR
72952,2138,Rudy,Crawford,AR
71720,2103,Bearden,Ouachita,AR
72434,2080,Imboden,Lawrence,AR
72863,2042,Scranton,Logan,AR
72853,2040,Ola,Yell,AR
72840,2019,Hartman,Johnson,AR
72127,1990,Plumerville,Conway,AR
71851,1979,Mineral Springs,Howard,AR
72633,1954,Everton,Boone,AR
71833,1943,Dierks,Howard,AR
72372,1939,Palestine,St. Francis,AR
72642,1906,Lakeview,Baxter,AR
71973,1891,Wickes,Polk,AR
71764,1879,Stephens,Ouachita,AR
72326,1837,Colt,St. Francis,AR
72821,1835,Altus,Franklin,AR
72167,1823,Traskwood,Saline,AR
72419,1815,Caraway,Craighead,AR
72619,1811,Bull Shoals,Marion,AR
72645,1792,Leslie,Searcy,AR
71845,1789,Lewisville,Lafayette,AR
72136,1781,Romance,White,AR
72447,1775,Monette,Craighead,AR
71940,1770,Delight,Pike,AR
72070,1736,Houston,Perry,AR
72045,1726,El Paso,White,AR
72386,1724,Tyronza,Poinsett,AR
71675,1722,Wilmar,Drew,AR
71740,1701,Emerson,Columbia,AR
72035,1696,Conway,Faulkner,AR
71960,1655,Norman,Montgomery,AR
71763,1642,Sparkman,Dallas,AR
72444,1634,Maynard,Randolph,AR
72027,1619,Center Ridge,Conway,AR
72769,1611,Summers,Washington,AR
71834,1611,Doddridge,Miller,AR
72626,1608,Cotter,Baxter,AR
72857,1603,Plainview,Yell,AR
72932,1587,Cedarville,Crawford,AR
72029,1583,Clarendon,Monroe,AR
72611,1568,Alpena,Boone,AR
72327,1555,Crawfordsville,Crittenden,AR
72320,1539,Brickeys,Lee,AR
72376,1531,Proctor,Crittenden,AR
72773,1521,Wesley,Madison,AR
