,zip,population,city,county,state,latitude,longitude
96,72730,8624,Farmington,Washington,AR,36.030477,-94.268676
97,72560,8574,Mountain View,Stone,AR,35.851011,-92.094066
98,72176,8549,Ward,Lonoke,AR,35.002357,-91.835241
99,71822,8320,Ashdown,Little River,AR,33.663095,-94.156267
100,72751,8296,Pea Ridge,Benton,AR,36.462735,-94.114406
101,72007,8259,Austin,Lonoke,AR,35.001903,-91.983177
102,71671,8246,Warren,Bradley,AR,33.601989,-92.096049
103,72927,8034,Booneville,Logan,AR,35.080054,-93.939867
104,72837,7837,Dover,Pope,AR,35.503672,-93.109424
105,72390,7744,West Helena,Phillips,AR,34.551045,-90.67941
106,72687,7737,Yellville,Marion,AR,36.262184,-92.706299
107,72736,7417,Gravette,Benton,AR,36.413616,-94.465023
108,72081,7409,Judsonia,White,AR,35.382007,-91.670425
109,72370,7302,Osceola,Mississippi,AR,35.71448,-90.027718
110,72432,7115,Harrisburg,Poinsett,AR,35.55269,-90.720042
111,72031,7089,Clinton,Van Buren,AR,35.633661,-92.531647
112,72638,7073,Green Forest,Carroll,AR,36.322765,-93.404544
113,72958,6762,Waldron,Scott,AR,34.903819,-94.137036
114,72476,6658,Walnut Ridge,Lawrence,AR,36.049514,-90.919912
115,71667,6568,Star City,Lincoln,AR,33.924489,-91.837089
116,72727,6460,Elkins,Washington,AR,35.923747,-93.927682
117,72855,6319,Paris,Logan,AR,35.258968,-93.683862
118,72774,6298,West Fork,Washington,AR,35.948327,-94.147185
119,72010,6108,Bald Knob,White,AR,35.320195,-91.537618
120,72106,5987,Mayflower,Faulkner,AR,34.973989,-92.526078
121,72521,5952,Cave City,Sharp,AR,35.949672,-91.541118
122,71646,5915,Hamburg,Ashley,AR,33.235544,-91.787587
123,72823,5750,Atkins,Pope,AR,35.251217,-92.905571
124,71639,5633,Dumas,Desha,AR,33.901476,-91.520374
125,72360,5411,Marianna,Lee,AR,34.750302,-90.780771
126,71742,5373,Fordyce,Dallas,AR,33.852672,-92.448887
127,71665,5359,Rison,Cleveland,AR,33.930261,-92.109532
128,72744,5291,Lincoln,Washington,AR,35.96258,-94.435365
129,72417,5274,Brookland,Craighead,AR,35.916276,-90.539526
130,71644,5268,Grady,Lincoln,AR,34.098317,-91.704718
131,72065,5252,Hensley,Pulaski,AR,34.534625,-92.286376
132,72416,5233,Bono,Craighead,AR,35.963977,-90.795722
133,72042,5151,De Witt,Arkansas,AR,34.26058,-91.324459
134,72941,5124,Lavaca,Sebastian,AR,35.367917,-94.156308
135,72933,5114,Charleston,Franklin,AR,35.328642,-94.013024
136,72923,5023,Barling,Sebastian,AR,35.315588,-94.30877
137,72529,4912,Cherokee Village,Sharp,AR,36.291822,-91.564287
138,71968,4855,Royal,Garland,AR,34.524171,-93.290496
139,71857,4849,Prescott,Nevada,AR,33.801468,-93.33759
140,71837,4843,Fouke,Miller,AR,33.254898,-93.845308
141,72732,4716,Garfield,Benton,AR,36.432516,-93.959444
142,71964,4709,Pearcy,Garland,AR,34.424134,-93.240731
143,72454,4642,Piggott,Clay,AR,36.406767,-90.202572
144,72131,4633,Quitman,Cleburne,AR,35.416053,-92.18954
145,71929,4552,Bismarck,Hot Spring,AR,34.303737,-93.159556
146,72342,4487,Helena,Phillips,AR,34.448956,-90.684489
147,72632,4380,Eureka Springs,Carroll,AR,36.373213,-93.743893
148,72422,4329,Corning,Clay,AR,36.424558,-90.519488
149,71654,4302,Mc Gehee,Desha,AR,33.62109,-91.371079
150,71653,4300,Lake Village,Chicot,AR,33.343373,-91.251768
151,72442,4263,Manila,Mississippi,AR,35.818572,-90.186693
152,72011,4242,Bauxite,Saline,AR,34.500623,-92.465885
153,71943,4162,Glenwood,Pike,AR,34.340316,-93.607268
154,72024,4153,Carlisle,Lonoke,AR,34.760848,-91.741919
155,72634,4153,Flippin,Marion,AR,36.203533,-92.526143
156,72846,4125,Lamar,Johnson,AR,35.4839,-93.326796
157,72631,4095,Eureka Springs,Carroll,AR,36.467606,-93.834419
158,72650,4091,Marshall,Searcy,AR,35.884317,-92.701437
159,72046,4079,England,Lonoke,AR,34.558459,-91.950755
160,72542,4031,Hardy,Sharp,AR,36.300403,-91.465978
161,72718,3971,Cave Springs,Benton,AR,36.268458,-94.219446
162,72833,3813,Danville,Yell,AR,35.021703,-93.472595
163,72635,3767,Gassville,Baxter,AR,36.318364,-92.513841
164,72461,3728,Rector,Clay,AR,36.266147,-90.285219
165,72858,3713,Pottsville,Pope,AR,35.240223,-93.044393
166,72126,3683,Perryville,Perry,AR,34.942765,-92.916204
167,72021,3666,Brinkley,Monroe,AR,34.84554,-91.217479
168,72519,3628,Calico Rock,Izard,AR,36.134123,-92.180309
169,71743,3617,Gurdon,Clark,AR,33.889333,-93.097793
170,72437,3591,Lake City,Craighead,AR,35.848382,-90.458281
171,72947,3588,Mulberry,Crawford,AR,35.572054,-94.028384
172,71921,3552,Amity,Clark,AR,34.243654,-93.390909
173,72153,3552,Shirley,Van Buren,AR,35.646118,-92.32628
174,71638,3549,Dermott,Chicot,AR,33.520936,-91.484668
175,72121,3520,Pangburn,White,AR,35.455321,-91.78614
176,72946,3518,Mountainburg,Crawford,AR,35.66954,-94.134989
177,72556,3472,Melbourne,Izard,AR,36.013879,-91.97001
178,72576,3444,Salem,Fulton,AR,36.348523,-91.856028
179,72937,3427,Hackett,Sebastian,AR,35.134729,-94.391456
180,72020,3398,Bradford,White,AR,35.472034,-91.470145
181,72016,3321,Bigelow,Perry,AR,34.970823,-92.632882
182,72102,3278,Mc Rae,White,AR,35.147155,-91.830016
183,72101,3103,Mc Crory,Woodruff,AR,35.245352,-91.161529
184,72959,3030,Winslow,Washington,AR,35.79038,-94.071982
185,72847,2983,London,Pope,AR,35.377533,-93.273453
186,72135,2978,Roland,Pulaski,AR,34.877841,-92.5401
187,71770,2967,Waldo,Columbia,AR,33.388092,-93.317427
188,72443,2967,Marmaduke,Greene,AR,36.17577,-90.411414
189,71640,2960,Eudora,Chicot,AR,33.101218,-91.278079
190,71744,2957,Hampton,Calhoun,AR,33.496803,-92.480163
191,71749,2904,Junction City,Union,AR,33.071881,-92.818579
192,71836,2898,Foreman,Little River,AR,33.714994,-94.39765
193,72331,2897,Earle,Crittenden,AR,35.281034,-90.466305
194,72662,2870,Omaha,Boone,AR,36.431043,-93.180824
195,72132,2849,Redfield,Jefferson,AR,34.446273,-92.204774
196,71957,2803,Mount Ida,Montgomery,AR,34.565024,-93.574701
197,72944,2791,Mansfield,Scott,AR,35.024077,-94.234595
198,72644,2751,Lead Hill,Boone,AR,36.433124,-92.992763
199,71846,2743,Lockesburg,Sevier,AR,33.943737,-94.127736
200,72722,2737,Decatur,Benton,AR,36.343769,-94.469944
201,72433,2713,Hoxie,Lawrence,AR,36.025741,-91.047639
202,72512,2692,Horseshoe Bend,Izard,AR,36.220421,-91.746312
203,72411,2680,Bay,Craighead,AR,35.74509,-90.575507
204,72064,2680,Hazen,Prairie,AR,34.791589,-91.608698
205,72641,2664,Jasper,Newton,AR,35.986549,-93.243741
206,72438,2580,Leachville,Mississippi,AR,35.949108,-90.217756
207,72738,2573,Hindsville,Madison,AR,36.1559,-93.886845
208,72554,2546,Mammoth Spring,Fulton,AR,36.438698,-91.562211
209,72087,2545,Lonsdale,Garland,AR,34.596727,-92.826199
210,71762,2543,Smackover,Union,AR,33.342916,-92.768358
211,72348,2492,Hughes,St. Francis,AR,34.941764,-90.417886
212,72843,2481,Hector,Pope,AR,35.59993,-92.93752
213,72354,2471,Lepanto,Poinsett,AR,35.618861,-90.3193
214,72365,2454,Marked Tree,Poinsett,AR,35.520937,-90.450084
215,71765,2397,Strong,Union,AR,33.141882,-92.331795
216,72040,2392,Des Arc,Prairie,AR,34.969678,-91.53282
217,72088,2387,Fairfield Bay,Van Buren,AR,35.595187,-92.267834
218,72943,2370,Magazine,Logan,AR,35.180144,-93.786949
219,72006,2369,Augusta,Woodruff,AR,35.243873,-91.359583
220,72513,2362,Ash Flat,Sharp,AR,36.226285,-91.658306
221,72082,2344,Kensett,White,AR,35.232834,-91.67357
222,72067,2335,Higden,Cleburne,AR,35.563373,-92.155437
223,72324,2334,Cherry Valley,Cross,AR,35.390418,-90.786566
224,71941,2333,Donaldson,Hot Spring,AR,34.24725,-92.948746
225,72168,2316,Tucker,Jefferson,AR,34.440061,-91.971787
226,71958,2311,Murfreesboro,Pike,AR,34.123352,-93.664613
227,72473,2297,Tuckerman,Jackson,AR,35.738276,-91.171315
228,72039,2280,Damascus,Faulkner,AR,35.356065,-92.397334
229,71647,2276,Hermitage,Bradley,AR,33.36436,-92.114035
230,72940,2269,Huntington,Sebastian,AR,35.122069,-94.259293
231,71842,2263,Horatio,Sevier,AR,33.902882,-94.285269
232,72366,2248,Marvell,Phillips,AR,34.518108,-90.96086
233,71861,2246,Taylor,Columbia,AR,33.100673,-93.499952
234,72142,2235,Scott,Pulaski,AR,34.697279,-92.043838
235,72824,2234,Belleville,Yell,AR,35.132996,-93.412111
236,72063,2232,Hattieville,Conway,AR,35.318066,-92.790118
237,71858,2216,Rosston,Nevada,AR,33.585136,-93.263796
238,71937,2199,Cove,Polk,AR,34.399366,-94.390304
239,72562,2189,Newark,Independence,AR,35.735469,-91.401119
240,72137,2186,Rose Bud,White,AR,35.336271,-92.042179
241,71860,2180,Stamps,Lafayette,AR,33.290219,-93.489664
242,72583,2178,Viola,Fulton,AR,36.414777,-91.99411
243,72355,2155,Lexa,Phillips,AR,34.474201,-90.797703
244,72013,2142,Bee Branch,Van Buren,AR,35.455344,-92.368472
245,72952,2138,Rudy,Crawford,AR,35.568762,-94.300414
246,71720,2103,Bearden,Ouachita,AR,33.786212,-92.654681
247,72434,2080,Imboden,Lawrence,AR,36.217536,-91.156352
248,72863,2042,Scranton,Logan,AR,35.369401,-93.511253
249,72853,2040,Ola,Yell,AR,35.016833,-93.202344
250,72840,2019,Hartman,Johnson,AR,35.45809,-93.615427
251,72127,1990,Plumerville,Conway,AR,35.173113,-92.606038
252,71851,1979,Mineral Springs,Howard,AR,33.856659,-93.942522
253,72633,1954,Everton,Boone,AR,36.128875,-92.872765
