,zip,population,city,county,state,latitude,longitude
431,71935,494,Caddo Gap,Montgomery,AR,34.39496,-93.751384
432,72333,486,Elaine,Phillips,AR,34.302008,-90.866645
433,72624,486,Compton,Newton,AR,36.057715,-93.381785
434,71972,484,Vandervoort,Polk,AR,34.382891,-94.276862
435,72536,484,Franklin,Izard,AR,36.144167,-91.768292
436,71825,480,Blevins,Hempstead,AR,33.877783,-93.556496
437,72410,477,Alicia,Lawrence,AR,35.947477,-91.097645
438,72629,475,Dennard,Van Buren,AR,35.738502,-92.566795
439,72456,473,Pollard,Clay,AR,36.447254,-90.338356
440,72640,469,Hasty,Newton,AR,36.002794,-93.05943
441,72677,467,Summit,Marion,AR,36.252587,-92.68524
442,72839,465,Hagarville,Johnson,AR,35.629695,-93.244275
443,72359,437,Madison,St. Francis,AR,35.026355,-90.722129
444,72421,435,Cash,Craighead,AR,35.785321,-90.971951
445,72431,435,Grubbs,Jackson,AR,35.632571,-91.079409
446,72412,434,Beech Grove,Greene,AR,36.124168,-90.694378
447,72134,423,Roe,Monroe,AR,34.61777,-91.350611
448,72389,417,Wabash,Phillips,AR,34.371344,-90.912075
449,71847,417,Mc Caskill,Hempstead,AR,33.926251,-93.636805
450,72175,409,Wabbaseka,Jefferson,AR,34.336715,-91.76404
451,72683,408,Vendor,Newton,AR,35.92313,-93.102771
452,71661,406,Parkdale,Ashley,AR,33.151034,-91.550243
453,71724,404,Calion,Union,AR,33.327776,-92.535675
454,72856,401,Pelsor,Pope,AR,35.79027,-93.089516
455,72140,399,Saint Charles,Arkansas,AR,34.362455,-91.167189
456,72721,398,Combs,Madison,AR,35.798415,-93.825719
457,72462,398,Reyno,Randolph,AR,36.389116,-90.759335
458,72017,398,Biscoe,Prairie,AR,34.900249,-91.416432
459,72522,391,Charlotte,Independence,AR,35.810886,-91.470428
460,72394,389,Widener,St. Francis,AR,35.06003,-90.614018
461,72179,365,Wilburn,Cleburne,AR,35.503585,-91.855553
462,72524,362,Cord,Independence,AR,35.840215,-91.311438
463,72072,357,Humnoke,Lonoke,AR,34.523961,-91.739547
464,72617,356,Big Flat,Baxter,AR,36.022951,-92.390633
465,71745,347,Harrell,Calhoun,AR,33.500735,-92.396088
466,72123,346,Patterson,Woodruff,AR,35.258759,-91.235387
467,72430,345,Greenway,Clay,AR,36.334529,-90.171274
468,72026,331,Casscoe,Arkansas,AR,34.505228,-91.295
469,72156,326,Solgohachia,Conway,AR,35.281036,-92.685033
470,72655,324,Mount Judea,Newton,AR,35.90072,-93.016516
471,72414,318,Black Oak,Craighead,AR,35.824609,-90.374049
472,72945,314,Midland,Sebastian,AR,35.088817,-94.347427
473,72427,313,Egypt,Craighead,AR,35.867056,-90.935772
474,72752,313,Pettigrew,Madison,AR,35.817589,-93.590342
475,71855,310,Ozan,Hempstead,AR,33.865153,-93.751335
476,72584,308,Violet Hill,Izard,AR,36.140997,-91.843699
477,72425,299,Delaplaine,Greene,AR,36.215265,-90.739215
478,71965,296,Pencil Bluff,Montgomery,AR,34.670485,-93.746571
479,72760,294,St. Paul,Madison,AR,35.84052,-93.702256
480,72571,294,Rosie,Independence,AR,35.641682,-91.551195
481,72747,293,Maysville,Benton,AR,36.36863,-94.582789
482,72467,290,State University,Craighead,AR,35.841039,-90.675602
483,72520,283,Camp,Fulton,AR,36.3909,-91.720193
484,71853,280,Ogden,Little River,AR,33.593799,-93.938035
485,72841,277,Harvey,Scott,AR,34.837334,-93.800571
486,72440,270,Lynn,Lawrence,AR,36.005556,-91.227055
487,71725,268,Carthage,Dallas,AR,34.04963,-92.557937
488,72139,268,Russell,White,AR,35.361003,-91.507798
489,72533,266,Fifty Six,Stone,AR,35.978455,-92.247016
490,72567,265,Pleasant Grove,Stone,AR,35.814566,-91.92595
491,72630,265,Diamond City,Boone,AR,36.478794,-92.904907
492,72860,261,Rover,Yell,AR,34.965746,-93.445885
493,72170,260,Ulm,Prairie,AR,34.586,-91.417505
494,72573,255,Sage,Izard,AR,36.076165,-91.797364
495,72449,252,O Kean,Randolph,AR,36.177465,-90.819634
496,71969,252,Sims,Montgomery,AR,34.669242,-93.62921
497,72341,252,Haynes,Lee,AR,34.87839,-90.769095
498,71839,250,Garland City,Lafayette,AR,33.334884,-93.729032
499,72564,246,Oil Trough,Independence,AR,35.59588,-91.456611
500,72085,245,Letona,White,AR,35.363958,-91.829069
501,72339,238,Gilmore,Crittenden,AR,35.42201,-90.268106
502,72572,227,Saffell,Lawrence,AR,35.899142,-91.291045
503,72080,218,Jerusalem,Conway,AR,35.437998,-92.83451
504,72827,218,Bluffton,Yell,AR,34.871709,-93.625647
505,72478,216,Warm Springs,Randolph,AR,36.447875,-91.058981
506,72539,209,Glencoe,Fulton,AR,36.33214,-91.711144
507,72585,208,Wideman,Izard,AR,36.183223,-92.008137
508,72517,207,Brockwell,Izard,AR,36.132311,-91.973274
509,72555,204,Marcella,Stone,AR,35.78144,-91.875264
510,72546,202,Ida,Cleburne,AR,35.578882,-91.941061
511,30044,93987,Lawrenceville,Gwinnett,GA,33.922046,-84.065671
512,30043,88276,Lawrenceville,Gwinnett,GA,33.999276,-84.009512
513,30024,80598,Suwanee,Gwinnett,GA,34.062971,-84.09077
514,30349,75647,Atlanta,Fulton,GA,33.622488,-84.523908
515,30040,72858,Cumming,Forsyth,GA,34.210349,-84.187794
516,30041,71750,Cumming,Forsyth,GA,34.204626,-84.100357
517,30127,71709,Powder Springs,Cobb,GA,33.874556,-84.694713
518,30281,70098,Stockbridge,Henry,GA,33.567898,-84.193388
519,30052,69518,Loganville,Gwinnett,GA,33.815151,-83.893561
520,30022,69135,Alpharetta,Fulton,GA,34.029865,-84.239745
521,30047,68700,Lilburn,Gwinnett,GA,33.871867,-84.112585
522,30096,68570,Duluth,Gwinnett,GA,33.974292,-84.145426
523,30135,67853,Douglasville,Douglas,GA,33.67052,-84.73428
524,30004,66538,Alpharetta,Fulton,GA,34.145614,-84.291894
525,30331,65996,Atlanta,Fulton,GA,33.707455,-84.544149
526,30062,63906,Marietta,Cobb,GA,34.005578,-84.468945
527,30188,63869,Woodstock,Cherokee,GA,34.123528,-84.457649
528,30058,61247,Lithonia,Dekalb,GA,33.74033,-84.108844
529,30263,60769,Newnan,Coweta,GA,33.388415,-84.858937
530,30906,60200,Augusta,Richmond,GA,33.346732,-81.967703
531,30083,59798,Stone Mountain,Dekalb,GA,33.797412,-84.197984
532,30144,59085,Kennesaw,Cobb,GA,34.036864,-84.591009
533,30101,58844,Acworth,Cobb,GA,34.034515,-84.707349
534,30080,58806,Smyrna,Cobb,GA,33.86994,-84.498081
535,31907,58615,Columbus,Muscogee,GA,32.482037,-84.901475
536,31419,58483,Savannah,Chatham,GA,31.997154,-81.230649
537,30066,57953,Marietta,Cobb,GA,34.032388,-84.505154
538,30253,57889,Mcdonough,Henry,GA,33.448926,-84.18357
539,30318,57136,Atlanta,Fulton,GA,33.792303,-84.447862
540,31088,57063,Warner Robins,Houston,GA,32.579353,-83.650325
541,30114,57013,Canton,Cherokee,GA,34.247838,-84.524468
542,30016,56934,Covington,Newton,GA,33.517433,-83.928703
543,30075,55945,Roswell,Fulton,GA,34.055084,-84.390492
544,30518,54832,Buford,Gwinnett,GA,34.130846,-84.027398
545,30093,53896,Norcross,Gwinnett,GA,33.908536,-84.177349
546,30236,53224,Jonesboro,Clayton,GA,33.524478,-84.325439
547,30721,52658,Dalton,Whitfield,GA,34.788636,-84.916082
548,30907,51428,Augusta,Richmond,GA,33.523809,-82.085688
549,30809,50288,Evans,Columbia,GA,33.55603,-82.170395
550,30519,49986,Buford,Gwinnett,GA,34.087437,-83.944991
551,30064,49849,Marietta,Cobb,GA,33.940455,-84.609708
552,30157,48446,Dallas,Paulding,GA,33.884708,-84.871928
553,30019,48443,Dacula,Gwinnett,GA,33.97561,-83.883747
554,30458,47890,Statesboro,Bulloch,GA,32.399676,-81.828266
555,30132,47378,Dallas,Paulding,GA,33.988832,-84.858967
556,30032,47267,Decatur,Dekalb,GA,33.740666,-84.264463
557,30252,47005,Mcdonough,Henry,GA,33.473512,-84.057165
558,30076,46739,Roswell,Fulton,GA,34.028483,-84.311423
559,30039,46640,Snellville,Gwinnett,GA,33.799851,-84.035678
560,30067,46482,Marietta,Cobb,GA,33.934278,-84.462185
561,30045,46088,Lawrenceville,Gwinnett,GA,33.936518,-83.927669
562,30034,45968,Decatur,Dekalb,GA,33.690867,-84.248622
563,30097,45894,Duluth,Gwinnett,GA,34.026142,-84.145592
564,30680,45852,Winder,Barrow,GA,33.996105,-83.700168
565,30606,45698,Athens,Clarke,GA,33.937551,-83.424964
566,30813,45485,Grovetown,Columbia,GA,33.471668,-82.220051
567,30319,45135,Atlanta,Dekalb,GA,33.875954,-84.334763
568,30115,44811,Canton,Cherokee,GA,34.204092,-84.400462
569,30152,44115,Kennesaw,Cobb,GA,33.98925,-84.64592
570,30506,43974,Gainesville,Hall,GA,34.346947,-83.895595
571,30228,43753,Hampton,Henry,GA,33.404147,-84.30735
572,30736,43639,Ringgold,Catoosa,GA,34.902663,-85.13397
573,30134,43504,Douglasville,Douglas,GA,33.777518,-84.781392
574,30126,42794,Mableton,Cobb,GA,33.815025,-84.553831
575,31061,42625,Milledgeville,Baldwin,GA,33.077282,-83.246171
576,30102,42232,Acworth,Cobb,GA,34.110196,-84.631357
577,30701,42050,Calhoun,Gordon,GA,34.492384,-84.958336
578,30815,41590,Hephzibah,Richmond,GA,33.287235,-82.088937
579,30605,41388,Athens,Clarke,GA,33.905911,-83.323577
580,31313,41378,Hinesville,Liberty,GA,31.844789,-81.612554
581,30294,41096,Ellenwood,Clayton,GA,33.639853,-84.26715
582,30909,40595,Augusta,Richmond,GA,33.470481,-82.083045
583,30165,40349,Rome,Floyd,GA,34.302923,-85.269103
584,30005,40213,Alpharetta,Fulton,GA,34.089039,-84.217099
585,30060,40055,Marietta,Cobb,GA,33.926431,-84.541629
586,30120,40008,Cartersville,Bartow,GA,34.167879,-84.852014
587,30038,39543,Lithonia,Dekalb,GA,33.66646,-84.139855
588,30189,39522,Woodstock,Cherokee,GA,34.124224,-84.570679
589,30014,39352,Covington,Newton,GA,33.580062,-83.823102
590,30238,39310,Jonesboro,Clayton,GA,33.493294,-84.37916
591,30350,38785,Atlanta,Dekalb,GA,33.980254,-84.330016
592,30328,38685,Atlanta,Fulton,GA,33.932538,-84.385947
593,31909,38486,Columbus,Muscogee,GA,32.548807,-84.924106
594,30078,38472,Snellville,Gwinnett,GA,33.861019,-84.017993
595,30087,38304,Stone Mountain,Dekalb,GA,33.805871,-84.126928
596,30180,38203,Villa Rica,Carroll,GA,33.717103,-84.918032
597,30213,37948,Fairburn,Fulton,GA,33.589298,-84.636766
598,31405,37929,Savannah,Chatham,GA,32.039396,-81.179116
599,30046,37919,Lawrenceville,Gwinnett,GA,33.948632,-83.995766
600,30084,37354,Tucker,Dekalb,GA,33.854097,-84.216155
601,30092,37025,Norcross,Gwinnett,GA,33.972386,-84.231986
602,30215,36953,Fayetteville,Fayette,GA,33.391613,-84.456432
603,30223,36797,Griffin,Spalding,GA,33.288801,-84.279923
604,30269,36578,Peachtree City,Fayette,GA,33.391904,-84.570611
605,30542,36450,Flowery Branch,Hall,GA,34.178052,-83.909174
606,30315,36296,Atlanta,Fulton,GA,33.702829,-84.382515
607,31602,35916,Valdosta,Lowndes,GA,30.868774,-83.342695
608,30338,35680,Atlanta,Fulton,GA,33.946218,-84.318119
609,30311,35523,Atlanta,Fulton,GA,33.723262,-84.475994
610,30161,35344,Rome,Floyd,GA,34.242301,-85.171371
611,30117,35097,Carrollton,Carroll,GA,33.581851,-85.132439
612,31406,35073,Savannah,Chatham,GA,31.980523,-81.08519
613,30008,34709,Marietta,Cobb,GA,33.897634,-84.589572
614,30265,34596,Newnan,Coweta,GA,33.418625,-84.713134
615,30274,34426,Riverdale,Clayton,GA,33.554561,-84.399687
616,30705,34072,Chatsworth,Murray,GA,34.744142,-84.731404
617,30316,33832,Atlanta,Fulton,GA,33.711546,-84.331796
618,31210,33647,Macon,Bibb,GA,32.907633,-83.735052
619,31404,33597,Savannah,Chatham,GA,32.051559,-81.049211
620,30068,32798,Marietta,Cobb,GA,33.968116,-84.431704
621,30033,32782,Decatur,Dekalb,GA,33.811659,-84.28323
622,30501,32652,Gainesville,Hall,GA,34.319072,-83.814393
623,30094,32359,Conyers,Rockdale,GA,33.612505,-84.051523
624,31705,32290,Albany,Dougherty,GA,31.51689,-84.042942
625,30344,32155,Atlanta,Fulton,GA,33.676362,-84.460794
626,30341,32134,Atlanta,Dekalb,GA,33.888505,-84.289532
627,31904,32087,Columbus,Muscogee,GA,32.554638,-85.010012
628,30030,31856,Decatur,Dekalb,GA,33.771947,-84.29027
629,30342,31828,Atlanta,Fulton,GA,33.882179,-84.375289
630,31601,31652,Valdosta,Lowndes,GA,30.758721,-83.319023
631,30012,31427,Conyers,Rockdale,GA,33.717806,-84.002515
632,30507,31290,Gainesville,Hall,GA,34.247502,-83.77385
633,30240,31223,Lagrange,Troup,GA,33.036764,-85.120092
634,31204,31055,Macon,Bibb,GA,32.848513,-83.674775
635,30534,30848,Dawsonville,Dawson,GA,34.4311,-84.144329
636,31525,30780,Brunswick,Glynn,GA,31.3211,-81.526435
637,30088,30760,Stone Mountain,Dekalb,GA,33.756052,-84.182363
638,30028,30609,Cumming,Forsyth,GA,34.29305,-84.176167
639,30214,30232,Fayetteville,Fayette,GA,33.490464,-84.485997
640,30340,29069,Atlanta,Dekalb,GA,33.897873,-84.252804
641,30324,28654,Atlanta,Fulton,GA,33.818405,-84.358175
642,30310,28597,Atlanta,Fulton,GA,33.726586,-84.425995
643,30741,28592,Rossville,Walker,GA,34.952685,-85.281297
644,30297,28503,Forest Park,Clayton,GA,33.615841,-84.373002
645,30549,28195,Jefferson,Jackson,GA,34.10799,-83.577448
646,30720,28067,Dalton,Whitfield,GA,34.733644,-85.000824
647,31794,27918,Tifton,Tift,GA,31.445884,-83.452678
648,30248,27747,Locust Grove,Henry,GA,33.351576,-84.105959
649,30533,27738,Dahlonega,Lumpkin,GA,34.56356,-84.020072
650,30122,27580,Lithia Springs,Douglas,GA,33.766909,-84.641356
651,30296,27579,Riverdale,Clayton,GA,33.563185,-84.441151
652,31021,27503,Dublin,Laurens,GA,32.493427,-82.943054
653,30504,27242,Gainesville,Hall,GA,34.271989,-83.891026
654,30260,27183,Morrow,Clayton,GA,33.584687,-84.327348
655,31324,27155,Richmond Hill,Bryan,GA,31.851496,-81.262181
656,30224,27139,Griffin,Spalding,GA,33.204493,-84.239727
657,30904,27136,Augusta,Richmond,GA,33.478289,-82.014102
658,30329,26980,Atlanta,Dekalb,GA,33.827479,-84.323017
659,30141,26494,Hiram,Paulding,GA,33.86043,-84.769883
660,30082,26442,Smyrna,Cobb,GA,33.854654,-84.536437
661,31322,26119,Pooler,Chatham,GA,32.109885,-81.255465
662,30655,25876,Monroe,Walton,GA,33.781688,-83.696095
663,30071,25865,Norcross,Gwinnett,GA,33.940652,-84.206734
664,30309,25852,Atlanta,Fulton,GA,33.799884,-84.385805
665,30345,25777,Atlanta,Dekalb,GA,33.851722,-84.283624
666,30314,25752,Atlanta,Fulton,GA,33.757576,-84.432245
667,31093,25488,Warner Robins,Houston,GA,32.647873,-83.657206
668,30339,25318,Atlanta,Fulton,GA,33.87632,-84.46209
669,30121,25309,Cartersville,Bartow,GA,34.209221,-84.778006
670,30013,25218,Conyers,Rockdale,GA,33.64517,-83.972188
671,30528,25149,Cleveland,White,GA,34.621918,-83.79462
672,30305,25139,Atlanta,Fulton,GA,33.835696,-84.389116
673,31206,24983,Macon,Bibb,GA,32.800857,-83.693698
674,30168,24936,Austell,Cobb,GA,33.783542,-84.588106
675,30306,24915,Atlanta,Fulton,GA,33.789323,-84.351498
676,31410,24626,Savannah,Chatham,GA,32.028784,-80.992683
677,30233,24398,Jackson,Butts,GA,33.292157,-83.969544
678,31763,24307,Leesburg,Lee,GA,31.750045,-84.139141
679,30021,24138,Clarkston,Dekalb,GA,33.806929,-84.237588
680,31605,23955,Valdosta,Lowndes,GA,30.929823,-83.223032
681,30312,23921,Atlanta,Fulton,GA,33.744725,-84.375231
682,30116,23886,Carrollton,Carroll,GA,33.54059,-85.003082
683,30125,23793,Cedartown,Polk,GA,34.000316,-85.276531
684,30017,23788,Grayson,Gwinnett,GA,33.890533,-83.961879
685,31707,23645,Albany,Dougherty,GA,31.586919,-84.206431
686,30241,23449,Lagrange,Troup,GA,33.022315,-84.949516
687,30601,23390,Athens,Clarke,GA,33.999151,-83.346993
688,30277,23365,Sharpsburg,Coweta,GA,33.375308,-84.649196
689,30035,23087,Decatur,Dekalb,GA,33.724452,-84.204244
690,30327,23059,Atlanta,Fulton,GA,33.869694,-84.4173
691,31520,22783,Brunswick,Glynn,GA,31.180919,-81.493973
692,30143,22726,Jasper,Pickens,GA,34.459958,-84.431752
693,30512,22646,Blairsville,Union,GA,34.85953,-83.960571
694,30291,22636,Union City,Fulton,GA,33.575891,-84.543792
695,31792,22458,Thomasville,Thomas,GA,30.770798,-84.043704
696,30106,22433,Austell,Cobb,GA,33.83901,-84.628247
697,30286,22270,Thomaston,Upson,GA,32.879167,-84.330566
698,30577,22261,Toccoa,Stephens,GA,34.552419,-83.325929
699,31558,22237,Saint Marys,Camden,GA,30.899344,-81.427587
700,31768,22212,Moultrie,Colquitt,GA,31.189103,-83.841107
701,31548,21858,Kingsland,Camden,GA,30.796163,-81.698233
702,31312,21762,Guyton,Effingham,GA,32.307479,-81.403826
703,31326,21722,Rincon,Effingham,GA,32.2952,-81.229931
704,31015,21224,Cordele,Crisp,GA,31.935,-83.774945
705,31024,20792,Eatonton,Putnam,GA,33.320918,-83.37549
706,30308,20438,Atlanta,Fulton,GA,33.771126,-84.378108
707,30307,20337,Atlanta,Fulton,GA,33.771079,-84.3336
708,31069,20207,Perry,Houston,GA,32.440068,-83.748603
709,30728,20183,La Fayette,Walker,GA,34.684875,-85.22579
710,31906,20114,Columbus,Muscogee,GA,32.467811,-84.950173
711,31503,20043,Waycross,Ware,GA,31.20402,-82.41992
712,30548,19828,Hoschton,Jackson,GA,34.09047,-83.767003
713,31008,19824,Byron,Peach,GA,32.665346,-83.785924
714,30540,19732,Ellijay,Gilmer,GA,34.728127,-84.543528
715,31401,19580,Savannah,Chatham,GA,32.074679,-81.088261
716,31701,18886,Albany,Dougherty,GA,31.552695,-84.159214
717,30677,18770,Watkinsville,Oconee,GA,33.783202,-83.373342
718,30009,18625,Alpharetta,Fulton,GA,34.079096,-84.305262
719,31005,18336,Bonaire,Houston,GA,32.544201,-83.597459
720,30276,18128,Senoia,Coweta,GA,33.26367,-84.570824
721,31533,18050,Douglas,Coffee,GA,31.560258,-82.828039
722,31750,17959,Fitzgerald,Ben Hill,GA,31.736465,-83.215037
723,30153,17906,Rockmart,Polk,GA,33.959882,-85.054452
724,31905,17867,Fort Benning,Muscogee,GA,32.378795,-84.90685
725,31903,17796,Columbus,Muscogee,GA,32.414148,-84.954244
726,31030,17691,Fort Valley,Peach,GA,32.570683,-83.890124
727,31216,17267,Macon,Bibb,GA,32.729664,-83.68534
728,30011,17265,Auburn,Barrow,GA,34.019859,-83.837163
729,30707,17145,Chickamauga,Walker,GA,34.771941,-85.359193
730,31217,17044,Macon,Bibb,GA,32.844147,-83.500044
731,30474,16892,Vidalia,Toombs,GA,32.238578,-82.417773
732,30824,16866,Thomson,Mcduffie,GA,33.512953,-82.514855
733,31522,16777,Saint Simons Island,Glynn,GA,31.257252,-81.342026
734,30179,16763,Temple,Carroll,GA,33.779335,-85.013502
735,30354,16660,Atlanta,Fulton,GA,33.661498,-84.386895
736,30656,16582,Monroe,Walton,GA,33.862137,-83.716175
737,31029,16467,Forsyth,Monroe,GA,33.040249,-83.934515
738,30901,16394,Augusta,Richmond,GA,33.437213,-81.956156
739,31501,16265,Waycross,Ware,GA,31.223623,-82.350198
740,30360,16099,Atlanta,Dekalb,GA,33.933808,-84.272577
741,30517,16070,Braselton,Jackson,GA,34.130358,-83.797204
742,31513,15950,Baxley,Appling,GA,31.77705,-82.347726
743,31545,15949,Jesup,Wayne,GA,31.663955,-81.934173
744,30747,15807,Summerville,Chattooga,GA,34.502597,-85.302791
745,31047,15750,Kathleen,Houston,GA,32.46728,-83.595342
746,30273,15720,Rex,Clayton,GA,33.583798,-84.271027
747,31709,15509,Americus,Sumter,GA,32.064806,-84.123242
748,30643,15487,Hartwell,Hart,GA,34.363471,-82.908806
749,31032,15324,Gray,Jones,GA,33.011683,-83.569169
750,30103,15246,Adairsville,Bartow,GA,34.366336,-84.917546
751,31220,15230,Macon,Bibb,GA,32.872019,-83.809688
752,30635,15200,Elberton,Elbert,GA,34.105769,-82.793148
753,31516,15052,Blackshear,Pierce,GA,31.309373,-82.25325
754,30461,15034,Statesboro,Bulloch,GA,32.511828,-81.718844
755,31539,14796,Hazlehurst,Jeff Davis,GA,31.8317,-82.605344
756,31211,14602,Macon,Bibb,GA,32.901115,-83.576267
757,30110,14232,Bremen,Haralson,GA,33.744459,-85.135938
758,30107,14083,Ball Ground,Cherokee,GA,34.336291,-84.345793
759,31023,14079,Eastman,Dodge,GA,32.183213,-83.199454
760,30620,14027,Bethlehem,Barrow,GA,33.929472,-83.758422
761,31407,14010,Savannah,Chatham,GA,32.186053,-81.192148
762,30317,13959,Atlanta,Fulton,GA,33.747999,-84.315586
763,30204,13735,Barnesville,Lamar,GA,33.05605,-84.121042
764,31316,13732,Ludowici,Long,GA,31.723569,-81.714287
765,30401,13708,Swainsboro,Emanuel,GA,32.599617,-82.352575
766,30830,13544,Waynesboro,Burke,GA,33.079811,-81.975337
767,31523,13450,Brunswick,Glynn,GA,31.212645,-81.616811
768,31632,13408,Hahira,Lowndes,GA,30.987018,-83.360313
769,31014,13404,Cochran,Bleckley,GA,32.415886,-83.349077
770,30337,13309,Atlanta,Fulton,GA,33.640147,-84.450081
771,30642,13104,Greensboro,Greene,GA,33.554175,-83.194404
772,30622,13073,Bogart,Oconee,GA,33.924456,-83.517926
773,30427,12771,Glennville,Tattnall,GA,31.922905,-81.962446
774,31415,12706,Savannah,Chatham,GA,32.078546,-81.126056
775,30513,12504,Blue Ridge,Fannin,GA,34.821043,-84.322383
776,31036,12236,Hawkinsville,Pulaski,GA,32.282016,-83.523225
777,30523,12099,Clarkesville,Habersham,GA,34.716543,-83.552878
778,30529,12098,Commerce,Jackson,GA,34.217179,-83.482653
779,30436,12039,Lyons,Toombs,GA,32.154894,-82.293036
780,30650,11971,Madison,Morgan,GA,33.583689,-83.473544
781,30054,11867,Oxford,Newton,GA,33.67325,-83.871806
782,31820,11832,Midland,Muscogee,GA,32.579419,-84.82469
783,30467,11764,Sylvania,Screven,GA,32.753793,-81.603534
784,30313,11761,Atlanta,Fulton,GA,33.764539,-84.397339
785,31791,11485,Sylvester,Worth,GA,31.529137,-83.894978
786,31620,11272,Adel,Cook,GA,31.117296,-83.434236
787,31535,11257,Douglas,Coffee,GA,31.459466,-82.867497
788,31757,10977,Thomasville,Thomas,GA,30.871249,-83.903185
789,31329,10831,Springfield,Effingham,GA,32.425638,-81.350634
790,30531,10809,Cornelia,Habersham,GA,34.512602,-83.592206
791,30439,10795,Metter,Candler,GA,32.407098,-82.078788
792,30025,10689,Social Circle,Walton,GA,33.655902,-83.696581
793,30453,10627,Reidsville,Tattnall,GA,32.011133,-82.121758
794,31639,10606,Nashville,Berrien,GA,31.216548,-83.190727
795,31636,10585,Lake Park,Lowndes,GA,30.730986,-83.111372
796,31537,10559,Folkston,Charlton,GA,30.885212,-82.00523
797,31408,10554,Savannah,Chatham,GA,32.11755,-81.184333
798,30417,10487,Claxton,Evans,GA,32.170468,-81.920992
799,30607,10475,Athens,Clarke,GA,34.017305,-83.447551
800,31779,10338,Pelham,Mitchell,GA,31.108022,-84.211198
801,30288,10181,Conley,Dekalb,GA,33.652831,-84.327109
802,30755,10108,Tunnel Hill,Whitfield,GA,34.86803,-85.04275
803,30268,10099,Palmetto,Fulton,GA,33.54643,-84.722632
804,31082,10061,Sandersville,Washington,GA,32.996417,-82.903117
805,30230,9727,Hogansville,Troup,GA,33.16449,-84.920565
806,31510,9658,Alma,Bacon,GA,31.545485,-82.440693
807,30666,9622,Statham,Barrow,GA,33.962081,-83.584612
808,30217,9595,Franklin,Heard,GA,33.281895,-85.133844
809,31064,9469,Monticello,Jasper,GA,33.286297,-83.702346
810,30814,9342,Harlem,Columbia,GA,33.440353,-82.299698
811,31027,9264,Dublin,Laurens,GA,32.581117,-82.804219
812,30510,9136,Alto,Habersham,GA,34.444855,-83.570701
813,31808,9077,Fortson,Muscogee,GA,32.631102,-85.0132
814,31793,9029,Tifton,Tift,GA,31.462511,-83.593543
815,31411,8993,Savannah,Chatham,GA,31.942991,-81.034651
816,31052,8837,Lizella,Crawford,GA,32.789015,-83.840075
817,30145,8807,Kingston,Bartow,GA,34.24566,-84.985878
818,30662,8779,Royston,Franklin,GA,34.267311,-83.1541
819,30633,8776,Danielsville,Madison,GA,34.180903,-83.249172
820,30290,8706,Tyrone,Fayette,GA,33.476407,-84.589709
821,30752,8638,Trenton,Dade,GA,34.914982,-85.537961
822,31087,8608,Sparta,Hancock,GA,33.251362,-83.001031
823,30740,8584,Rocky Face,Whitfield,GA,34.757276,-85.072036
824,31546,8555,Jesup,Wayne,GA,31.509811,-81.777301
825,30108,8494,Bowdon,Carroll,GA,33.5317,-85.262996
826,30554,8486,Lula,Hall,GA,34.398083,-83.661982
827,31643,8442,Quitman,Brooks,GA,30.773089,-83.556898
828,31315,8387,Fort Stewart,Liberty,GA,31.892873,-81.588978
829,30442,8239,Millen,Jenkins,GA,32.799793,-81.983529
830,31308,8111,Ellabell,Bryan,GA,32.180316,-81.471289
831,31331,8079,Townsend,Mcintosh,GA,31.511701,-81.443246
832,30553,8041,Lavonia,Franklin,GA,34.443769,-83.084137
833,31055,8005,Mc Rae,Telfair,GA,32.005073,-82.900735
834,31201,7937,Macon,Bibb,GA,32.806321,-83.61786
835,31730,7836,Camilla,Mitchell,GA,31.194884,-84.310924
836,31554,7803,Nicholls,Coffee,GA,31.486069,-82.620813
837,30817,7775,Lincolnton,Lincoln,GA,33.778388,-82.430194
838,30566,7741,Oakwood,Hall,GA,34.236212,-83.89521
839,31320,7627,Midway,Liberty,GA,31.765504,-81.368411
840,31771,7626,Norman Park,Colquitt,GA,31.248233,-83.654247
841,30535,7607,Demorest,Habersham,GA,34.573655,-83.574769
842,30546,7596,Hiawassee,Towns,GA,34.898796,-83.696585
843,30905,7594,Augusta,Richmond,GA,33.41516,-82.142573
844,31321,7576,Pembroke,Bryan,GA,32.185059,-81.659775
845,31096,7552,Wrightsville,Johnson,GA,32.723279,-82.707269
846,31302,7540,Bloomingdale,Chatham,GA,32.121659,-81.341739
847,30525,7515,Clayton,Rabun,GA,34.907217,-83.369483
848,30530,7475,Commerce,Jackson,GA,34.222921,-83.393799
849,30742,7374,Fort Oglethorpe,Catoosa,GA,34.950584,-85.243239
850,30710,7297,Cohutta,Whitfield,GA,34.953194,-84.911171
851,31031,7251,Gordon,Wilkinson,GA,32.866286,-83.32834
852,30628,7241,Colbert,Madison,GA,34.028875,-83.213297
853,30176,7221,Tallapoosa,Haralson,GA,33.766844,-85.301029
854,30683,7192,Winterville,Clarke,GA,33.946987,-83.25627
855,30187,7123,Winston,Douglas,GA,33.662549,-84.847233
856,30753,7016,Trion,Chattooga,GA,34.58228,-85.2858
857,31635,6961,Lakeland,Lanier,GA,31.096714,-83.048818
858,30646,6893,Hull,Madison,GA,34.085104,-83.299382
859,31833,6883,West Point,Troup,GA,32.8429,-85.091845
860,30303,6840,Atlanta,Fulton,GA,33.753259,-84.389953
