zip,population,city,county,state
30013,25218,Conyers,Rockdale,GA
30528,25149,Cleveland,White,GA
30305,25139,Atlanta,Fulton,GA
31206,24983,Macon,Bibb,GA
30168,24936,Austell,Cobb,GA
30306,24915,Atlanta,Fulton,GA
31410,24626,Savannah,Chatham,GA
30233,24398,Jackson,Butts,GA
31763,24307,Leesburg,Lee,GA
30021,24138,Clarkston,Dekalb,GA
31605,23955,Valdosta,Lowndes,GA
30312,23921,Atlanta,Fulton,GA
30116,23886,Carrollton,Carroll,GA
30125,23793,Cedartown,Polk,GA
30017,23788,Grayson,Gwinnett,GA
31707,23645,Albany,Dougherty,GA
30241,23449,Lagrange,Troup,GA
30601,23390,Athens,Clarke,GA
30277,23365,Sharpsburg,Coweta,GA
30035,23087,Decatur,Dekalb,GA
30327,23059,Atlanta,Fulton,GA
31520,22783,Brunswick,Glynn,GA
30143,22726,Jasper,Pickens,GA
30512,22646,Blairsville,Union,GA
30291,22636,Union City,Fulton,GA
31792,22458,Thomasville,Thomas,GA
30106,22433,Austell,Cobb,GA
30286,22270,Thomaston,Upson,GA
30577,22261,Toccoa,Stephens,GA
31558,22237,Saint Marys,Camden,GA
31768,22212,Moultrie,Colquitt,GA
31548,21858,Kingsland,Camden,GA
31312,21762,Guyton,Effingham,GA
31326,21722,Rincon,Effingham,GA
31015,21224,Cordele,Crisp,GA
31024,20792,Eatonton,Putnam,GA
30308,20438,Atlanta,Fulton,GA
30307,20337,Atlanta,Fulton,GA
31069,20207,Perry,Houston,GA
30728,20183,La Fayette,Walker,GA
31906,20114,Columbus,Muscogee,GA
31503,20043,Waycross,Ware,GA
30548,19828,Hoschton,Jackson,GA
31008,19824,Byron,Peach,GA
30540,19732,Ellijay,Gilmer,GA
31401,19580,Savannah,Chatham,GA
31701,18886,Albany,Dougherty,GA
30677,18770,Watkinsville,Oconee,GA
30009,18625,Alpharetta,Fulton,GA
31005,18336,Bonaire,Houston,GA
30276,18128,Senoia,Coweta,GA
31533,18050,Douglas,Coffee,GA
31750,17959,Fitzgerald,Ben Hill,GA
30153,17906,Rockmart,Polk,GA
31905,17867,Fort Benning,Muscogee,GA
31903,17796,Columbus,Muscogee,GA
31030,17691,Fort Valley,Peach,GA
31216,17267,Macon,Bibb,GA
30011,17265,Auburn,Barrow,GA
30707,17145,Chickamauga,Walker,GA
31217,17044,Macon,Bibb,GA
30474,16892,Vidalia,Toombs,GA
30824,16866,Thomson,Mcduffie,GA
31522,16777,Saint Simons Island,Glynn,GA
30179,16763,Temple,Carroll,GA
30354,16660,Atlanta,Fulton,GA
30656,16582,Monroe,Walton,GA
31029,16467,Forsyth,Monroe,GA
30901,16394,Augusta,Richmond,GA
31501,16265,Waycross,Ware,GA
30360,16099,Atlanta,Dekalb,GA
30517,16070,Braselton,Jackson,GA
31513,15950,Baxley,Appling,GA
31545,15949,Jesup,Wayne,GA
